"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 14 13:25:26 GMT 2023","Sat Oct 14 13:25:27 GMT 2023","855","tests","test_issue_name_in_repo_steps","","","","test_issue_name_decorator_steps",""
"broken","Sat Oct 14 13:25:24 GMT 2023","Sat Oct 14 13:25:25 GMT 2023","871","tests","test_issue_name_in_repo_steps","","","","test_issue_name_steps_dynamic",""
"broken","Sat Oct 14 13:25:28 GMT 2023","Sat Oct 14 13:25:28 GMT 2023","0","tests","test_to_pass","","","","test_issue_name_decorator_steps",""
"broken","Sat Oct 14 13:25:21 GMT 2023","Sat Oct 14 13:25:23 GMT 2023","1645","tests","test_issue_name_in_repo_selene","","","","test_issue_name",""
